"2019 rank","City","State","2019 estimate","2010 Census","Change","2016 land area","2016 land area","2016 population density","2016 population density","Location"
"1","New York","New York","8,336,817","8,175,133","+1.98%","301.5 sq mi","780.9 km2","28,317/sq mi","10,933/km2","40°39′49″N 73°56′19″W﻿ / ﻿40.6635°N 73.9387°W﻿ / 40.6635; -73.9387﻿ (1 New York City)"
"2","Los Angeles","California","3,979,576","3,792,621","+4.93%","468.7 sq mi","1,213.9 km2","8,484/sq mi","3,276/km2","34°01′10″N 118°24′39″W﻿ / ﻿34.0194°N 118.4108°W﻿ / 34.0194; -118.4108﻿ (2 Los Angeles)"
"3","Chicago","Illinois","2,693,976","2,695,598","−0.06%","227.3 sq mi","588.7 km2","11,900/sq mi","4,600/km2","41°50′15″N 87°40′54″W﻿ / ﻿41.8376°N 87.6818°W﻿ / 41.8376; -87.6818﻿ (3 Chicago)"
"4","Houston","Texas","2,320,268","2,100,263","+10.48%","637.5 sq mi","1,651.1 km2","3,613/sq mi","1,395/km2","29°47′12″N 95°23′27″W﻿ / ﻿29.7866°N 95.3909°W﻿ / 29.7866; -95.3909﻿ (4 Houston)"
"5","Phoenix","Arizona","1,680,992","1,445,632","+16.28%","517.6 sq mi","1,340.6 km2","3,120/sq mi","1,200/km2","33°34′20″N 112°05′24″W﻿ / ﻿33.5722°N 112.0901°W﻿ / 33.5722; -112.0901﻿ (6 Phoenix)"
"6","Philadelphia","Pennsylvania","1,584,064","1,526,006","+3.80%","134.2 sq mi","347.6 km2","11,683/sq mi","4,511/km2","40°00′34″N 75°08′00″W﻿ / ﻿40.0094°N 75.1333°W﻿ / 40.0094; -75.1333﻿ (5 Philadelphia)"
"7","San Antonio","Texas","1,547,253","1,327,407","+16.56%","461.0 sq mi","1,194.0 km2","3,238/sq mi","1,250/km2","29°28′21″N 98°31′30″W﻿ / ﻿29.4724°N 98.5251°W﻿ / 29.4724; -98.5251﻿ (7 San Antonio)"
"8","San Diego","California","1,423,851","1,307,402","+8.91%","325.2 sq mi","842.3 km2","4,325/sq mi","1,670/km2","32°48′55″N 117°08′06″W﻿ / ﻿32.8153°N 117.1350°W﻿ / 32.8153; -117.1350﻿ (8 San Diego)"
"9","Dallas","Texas","1,343,573","1,197,816","+12.17%","340.9 sq mi","882.9 km2","3,866/sq mi","1,493/km2","32°47′36″N 96°45′59″W﻿ / ﻿32.7933°N 96.7665°W﻿ / 32.7933; -96.7665﻿ (9 Dallas)"
"10","San Jose","California","1,021,795","945,942","+8.02%","177.5 sq mi","459.7 km2","5,777/sq mi","2,231/km2","37°17′48″N 121°49′08″W﻿ / ﻿37.2967°N 121.8189°W﻿ / 37.2967; -121.8189﻿ (10 San Jose)"
"11","Austin","Texas","978,908","790,390","+23.85%","312.7 sq mi","809.9 km2","3,031/sq mi","1,170/km2","30°18′14″N 97°45′16″W﻿ / ﻿30.3039°N 97.7544°W﻿ / 30.3039; -97.7544﻿ (11 Austin)"
"12","Jacksonville","Florida","911,507","821,784","+10.92%","747.4 sq mi","1,935.8 km2","1,178/sq mi","455/km2","30°20′13″N 81°39′42″W﻿ / ﻿30.3369°N 81.6616°W﻿ / 30.3369; -81.6616﻿ (12 Jacksonville)"
"13","Fort Worth","Texas","909,585","741,206","+22.72%","342.9 sq mi","888.1 km2","2,491/sq mi","962/km2","32°46′53″N 97°20′48″W﻿ / ﻿32.7815°N 97.3467°W﻿ / 32.7815; -97.3467﻿ (16 Fort Worth)"
"14","Columbus","Ohio","898,553","787,033","+14.17%","218.5 sq mi","565.9 km2","3,936/sq mi","1,520/km2","39°59′07″N 82°59′05″W﻿ / ﻿39.9852°N 82.9848°W﻿ / 39.9852; -82.9848﻿ (15 Columbus)"
"15","Charlotte","North Carolina","885,708","731,424","+21.09%","305.4 sq mi","791.0 km2","2,757/sq mi","1,064/km2","35°12′28″N 80°49′52″W﻿ / ﻿35.2078°N 80.8310°W﻿ / 35.2078; -80.8310﻿ (17 Charlotte)"
"16","San Francisco","California","881,549","805,235","+9.48%","46.9 sq mi","121.5 km2","18,569/sq mi","7,170/km2","37°43′38″N 123°01′56″W﻿ / ﻿37.7272°N 123.0322°W﻿ / 37.7272; -123.0322﻿ (13 San Francisco)"
"17","Indianapolis","Indiana","876,384","820,445","+6.82%","361.5 sq mi","936.3 km2","2,366/sq mi","914/km2","39°46′36″N 86°08′45″W﻿ / ﻿39.7767°N 86.1459°W﻿ / 39.7767; -86.1459﻿ (14 Indianapolis)"
"18","Seattle","Washington","753,675","608,660","+23.83%","83.8 sq mi","217.0 km2","8,405/sq mi","3,245/km2","47°37′14″N 122°21′03″W﻿ / ﻿47.6205°N 122.3509°W﻿ / 47.6205; -122.3509﻿ (20 Seattle)"
"19","Denver","Colorado","727,211","600,158","+21.17%","153.3 sq mi","397.0 km2","4,521/sq mi","1,746/km2","39°45′43″N 104°52′52″W﻿ / ﻿39.7619°N 104.8811°W﻿ / 39.7619; -104.8811﻿ (Denver)"
"20","Washington","District of Columbia","705,749","601,723","+17.29%","61.1 sq mi","158.2 km2","11,148/sq mi","4,304/km2","38°54′15″N 77°01′02″W﻿ / ﻿38.9041°N 77.0172°W﻿ / 38.9041; -77.0172﻿ (Washington, D.C.)"
"21","Boston","Massachusetts","692,600","617,594","+12.14%","48.3 sq mi","125.1 km2","13,938/sq mi","5,381/km2","42°19′55″N 71°01′13″W﻿ / ﻿42.3320°N 71.0202°W﻿ / 42.3320; -71.0202﻿ (Boston)"
"22","El Paso","Texas","681,728","649,121","+5.02%","256.8 sq mi","665.1 km2","2,660/sq mi","1,030/km2","31°50′54″N 106°25′37″W﻿ / ﻿31.8484°N 106.4270°W﻿ / 31.8484; -106.4270﻿ (19 El Paso)"
"23","Nashville","Tennessee","670,820","601,222","+11.58%","475.9 sq mi","1,232.6 km2","1,388/sq mi","536/km2","36°10′18″N 86°47′06″W﻿ / ﻿36.1718°N 86.7850°W﻿ / 36.1718; -86.7850﻿ (Nashville)"
"24","Detroit","Michigan","670,031","713,777","−6.13%","138.8 sq mi","359.5 km2","4,847/sq mi","1,871/km2","42°22′59″N 83°06′08″W﻿ / ﻿42.3830°N 83.1022°W﻿ / 42.3830; -83.1022﻿ (18 Detroit)"
"25","Oklahoma City","Oklahoma","655,057","579,999","+12.94%","606.3 sq mi","1,570.3 km2","1,053/sq mi","407/km2","35°28′02″N 97°30′49″W﻿ / ﻿35.4671°N 97.5137°W﻿ / 35.4671; -97.5137﻿ (Oklahoma City)"
"26","Portland","Oregon","654,741","583,776","+12.16%","133.5 sq mi","345.8 km2","4,793/sq mi","1,851/km2","45°32′13″N 122°39′00″W﻿ / ﻿45.5370°N 122.6500°W﻿ / 45.5370; -122.6500﻿ (Portland)"
"27","Las Vegas","Nevada","651,319","583,756","+11.57%","134.4 sq mi","348.1 km2","4,709/sq mi","1,818/km2","36°13′45″N 115°15′36″W﻿ / ﻿36.2292°N 115.2601°W﻿ / 36.2292; -115.2601﻿ (Las Vegas)"
"28","Memphis","Tennessee","651,073","646,889","+0.65%","317.4 sq mi","822.1 km2","2,056/sq mi","794/km2","35°06′10″N 89°58′39″W﻿ / ﻿35.1028°N 89.9774°W﻿ / 35.1028; -89.9774﻿ (Memphis)"
"29","Louisville","Kentucky","617,638","597,337","+3.40%","263.5 sq mi","682.5 km2","2,339/sq mi","903/km2","38°09′55″N 85°38′51″W﻿ / ﻿38.1654°N 85.6474°W﻿ / 38.1654; -85.6474﻿ (Louisville)"
"30","Baltimore","Maryland","593,490","620,961","−4.42%","80.9 sq mi","209.5 km2","7,598/sq mi","2,934/km2","39°18′00″N 76°36′38″W﻿ / ﻿39.3000°N 76.6105°W﻿ / 39.3000; -76.6105﻿ (Baltimore)"
"31","Milwaukee","Wisconsin","590,157","594,833","−0.79%","96.2 sq mi","249.2 km2","6,186/sq mi","2,388/km2","43°03′48″N 87°58′00″W﻿ / ﻿43.0633°N 87.9667°W﻿ / 43.0633; -87.9667﻿ (Milwaukee)"
"32","Albuquerque","New Mexico","560,513","545,852","+2.69%","188.2 sq mi","487.4 km2","2,972/sq mi","1,147/km2","35°06′20″N 106°38′51″W﻿ / ﻿35.1056°N 106.6474°W﻿ / 35.1056; -106.6474﻿ (Albuquerque)"
"33","Tucson","Arizona","548,073","520,116","+5.38%","230.8 sq mi","597.8 km2","2,299/sq mi","888/km2","32°09′11″N 110°52′14″W﻿ / ﻿32.1531°N 110.8706°W﻿ / 32.1531; -110.8706﻿ (Tucson)"
"34","Fresno","California","531,576","494,665","+7.46%","114.4 sq mi","296.3 km2","4,563/sq mi","1,762/km2","36°47′01″N 119°47′36″W﻿ / ﻿36.7836°N 119.7934°W﻿ / 36.7836; -119.7934﻿ (Fresno)"
"35","Mesa","Arizona","518,012","439,041","+17.99%","137.9 sq mi","357.2 km2","3,514/sq mi","1,357/km2","33°24′07″N 111°43′03″W﻿ / ﻿33.4019°N 111.7174°W﻿ / 33.4019; -111.7174﻿ (Mesa)"
"36","Sacramento","California","513,624","466,488","+10.10%","97.9 sq mi","253.6 km2","5,059/sq mi","1,953/km2","38°34′00″N 121°28′07″W﻿ / ﻿38.5666°N 121.4686°W﻿ / 38.5666; -121.4686﻿ (Sacramento)"
"37","Atlanta","Georgia","506,811","420,003","+20.67%","133.5 sq mi","345.8 km2","3,539/sq mi","1,366/km2","33°45′46″N 84°25′22″W﻿ / ﻿33.7629°N 84.4227°W﻿ / 33.7629; -84.4227﻿ (Atlanta)"
"38","Kansas City","Missouri","495,327","459,787","+7.73%","315.0 sq mi","815.8 km2","1,528/sq mi","590/km2","39°07′30″N 94°33′04″W﻿ / ﻿39.1251°N 94.5510°W﻿ / 39.1251; -94.5510﻿ (Kansas City, MO)"
"39","Colorado Springs","Colorado","478,221","416,427","+14.84%","195.6 sq mi","506.6 km2","2,378/sq mi","918/km2","38°52′02″N 104°45′39″W﻿ / ﻿38.8673°N 104.7607°W﻿ / 38.8673; -104.7607﻿ (Colorado Springs)"
"40","Omaha","Nebraska","478,192","408,958","+16.93%","133.2 sq mi","345.0 km2","3,356/sq mi","1,296/km2","41°15′52″N 96°02′42″W﻿ / ﻿41.2644°N 96.0451°W﻿ / 41.2644; -96.0451﻿ (Omaha)"
"41","Raleigh","North Carolina","474,069","403,892","+17.38%","145.1 sq mi","375.8 km2","3,163/sq mi","1,221/km2","35°49′50″N 78°38′30″W﻿ / ﻿35.8306°N 78.6418°W﻿ / 35.8306; -78.6418﻿ (Raleigh)"
"42","Miami","Florida","467,963","399,457","+17.15%","36.0 sq mi","93.2 km2","12,599/sq mi","4,865/km2","25°46′31″N 80°12′31″W﻿ / ﻿25.7752°N 80.2086°W﻿ / 25.7752; -80.2086﻿ (Miami)"
"43","Long Beach","California","462,628","462,257","+0.08%","50.3 sq mi","130.3 km2","9,347/sq mi","3,609/km2","33°48′33″N 118°09′19″W﻿ / ﻿33.8092°N 118.1553°W﻿ / 33.8092; -118.1553﻿ (Long Beach)"
"44","Virginia Beach","Virginia","449,974","437,994","+2.74%","244.7 sq mi","633.8 km2","1,850/sq mi","710/km2","36°46′48″N 76°01′31″W﻿ / ﻿36.7800°N 76.0252°W﻿ / 36.7800; -76.0252﻿ (Virginia Beach)"
"45","Oakland","California","433,031","390,724","+10.83%","55.9 sq mi","144.8 km2","7,514/sq mi","2,901/km2","37°46′11″N 122°13′33″W﻿ / ﻿37.7698°N 122.2257°W﻿ / 37.7698; -122.2257﻿ (Oakland)"
"46","Minneapolis","Minnesota","429,606","382,578","+12.29%","54.0 sq mi","139.9 km2","7,660/sq mi","2,960/km2","44°57′48″N 93°16′06″W﻿ / ﻿44.9633°N 93.2683°W﻿ / 44.9633; -93.2683﻿ (Minneapolis)"
"47","Tulsa","Oklahoma","401,190","391,906","+2.37%","196.8 sq mi","509.7 km2","2,048/sq mi","791/km2","36°07′40″N 95°54′08″W﻿ / ﻿36.1279°N 95.9023°W﻿ / 36.1279; -95.9023﻿ (Tulsa)"
"48","Tampa","Florida","399,700","335,709","+19.06%","113.4 sq mi","293.7 km2","3,326/sq mi","1,284/km2","27°58′12″N 82°28′47″W﻿ / ﻿27.9701°N 82.4797°W﻿ / 27.9701; -82.4797﻿ (Tampa)"
"49","Arlington","Texas","398,854","365,438","+9.14%","95.8 sq mi","248.1 km2","4,100/sq mi","1,600/km2","32°42′03″N 97°07′29″W﻿ / ﻿32.7007°N 97.1247°W﻿ / 32.7007; -97.1247﻿ (Arlington)"
"50","New Orleans","Louisiana","390,144","343,829","+13.47%","169.4 sq mi","438.7 km2","2,311/sq mi","892/km2","30°03′12″N 89°56′04″W﻿ / ﻿30.0534°N 89.9345°W﻿ / 30.0534; -89.9345﻿ (New Orleans)"
"51","Wichita","Kansas","389,938","382,368","+1.98%","160.4 sq mi","415.4 km2","2,431/sq mi","939/km2","37°41′27″N 97°20′45″W﻿ / ﻿37.6907°N 97.3459°W﻿ / 37.6907; -97.3459﻿ (Wichita)"
"52","Bakersfield","California","384,145","347,483","+10.55%","148.8 sq mi","385.4 km2","2,529/sq mi","976/km2","35°19′16″N 119°01′06″W﻿ / ﻿35.3212°N 119.0183°W﻿ / 35.3212; -119.0183﻿ (Bakersfield)"
"53","Cleveland","Ohio","381,009","396,815","−3.98%","77.7 sq mi","201.2 km2","4,965/sq mi","1,917/km2","41°28′43″N 81°40′46″W﻿ / ﻿41.4785°N 81.6794°W﻿ / 41.4785; -81.6794﻿ (Cleveland)"
"54","Aurora","Colorado","379,289","325,078","+16.68%","153.5 sq mi","397.6 km2","2,356/sq mi","910/km2","39°41′17″N 104°41′23″W﻿ / ﻿39.6880°N 104.6897°W﻿ / 39.6880; -104.6897﻿ (Aurora)"
"55","Anaheim","California","350,365","336,265","+4.19%","50.0 sq mi","129.5 km2","7,021/sq mi","2,711/km2","33°51′20″N 117°45′36″W﻿ / ﻿33.8555°N 117.7601°W﻿ / 33.8555; -117.7601﻿ (Anaheim)"
"56","Honolulu","Hawaii","345,064","337,256","+2.32%","60.5 sq mi","156.7 km2","5,815/sq mi","2,245/km2","21°19′27″N 157°50′51″W﻿ / ﻿21.3243°N 157.8476°W﻿ / 21.3243; -157.8476﻿ (Honolulu)"
"57","Santa Ana","California","332,318","324,528","+2.40%","27.1 sq mi","70.2 km2","12,333/sq mi","4,762/km2","33°44′11″N 117°52′59″W﻿ / ﻿33.7363°N 117.8830°W﻿ / 33.7363; -117.8830﻿ (Santa Ana)"
"58","Riverside","California","331,360","303,871","+9.05%","81.2 sq mi","210.3 km2","3,999/sq mi","1,544/km2","33°56′17″N 117°23′36″W﻿ / ﻿33.9381°N 117.3932°W﻿ / 33.9381; -117.3932﻿ (Riverside)"
"59","Corpus Christi","Texas","326,586","305,215","+7.00%","174.6 sq mi","452.2 km2","1,866/sq mi","720/km2","27°45′15″N 97°10′24″W﻿ / ﻿27.7543°N 97.1734°W﻿ / 27.7543; -97.1734﻿ (Corpus Christi)"
"60","Lexington","Kentucky","323,152","295,803","+9.25%","283.6 sq mi","734.5 km2","1,123/sq mi","434/km2","38°02′27″N 84°27′30″W﻿ / ﻿38.0407°N 84.4583°W﻿ / 38.0407; -84.4583﻿ (Lexington)"
"61","Henderson","Nevada","320,189","257,729","+24.23%","104.7 sq mi","271.2 km2","2,798/sq mi","1,080/km2","36°00′35″N 115°02′09″W﻿ / ﻿36.0097°N 115.0357°W﻿ / 36.0097; -115.0357﻿ (Henderson)"
"62","Stockton","California","312,697","291,707","+7.20%","61.7 sq mi","159.8 km2","4,977/sq mi","1,922/km2","37°58′35″N 121°18′48″W﻿ / ﻿37.9763°N 121.3133°W﻿ / 37.9763; -121.3133﻿ (Stockton)"
"63","Saint Paul","Minnesota","308,096","285,068","+8.08%","52.0 sq mi","134.7 km2","5,815/sq mi","2,245/km2","44°56′56″N 93°06′15″W﻿ / ﻿44.9489°N 93.1041°W﻿ / 44.9489; -93.1041﻿ (Saint Paul)"
"64","Cincinnati","Ohio","303,940","296,943","+2.36%","77.4 sq mi","200.5 km2","3,860/sq mi","1,490/km2","39°08′25″N 84°30′21″W﻿ / ﻿39.1402°N 84.5058°W﻿ / 39.1402; -84.5058﻿ (Cincinnati)"
"65","St. Louis","Missouri","300,576","319,294","−5.86%","62.0 sq mi","160.6 km2","5,023/sq mi","1,939/km2","38°38′09″N 90°14′41″W﻿ / ﻿38.6357°N 90.2446°W﻿ / 38.6357; -90.2446﻿ (St. Louis)"
"66","Pittsburgh","Pennsylvania","300,286","305,704","−1.77%","55.4 sq mi","143.5 km2","5,481/sq mi","2,116/km2","40°26′23″N 79°58′36″W﻿ / ﻿40.4398°N 79.9766°W﻿ / 40.4398; -79.9766﻿ (Pittsburgh)"
"67","Greensboro","North Carolina","296,710","269,666","+10.03%","128.3 sq mi","332.3 km2","2,237/sq mi","864/km2","36°05′42″N 79°49′37″W﻿ / ﻿36.0951°N 79.8270°W﻿ / 36.0951; -79.8270﻿ (Greensboro)"
"68","Lincoln","Nebraska","289,102","258,379","+11.89%","92.1 sq mi","238.5 km2","3,044/sq mi","1,175/km2","40°48′38″N 96°40′49″W﻿ / ﻿40.8105°N 96.6803°W﻿ / 40.8105; -96.6803﻿ (Lincoln)"
"69","Anchorage","Alaska","288,000","291,826","−1.31%","1,706.6 sq mi","4,420.1 km2","175/sq mi","68/km2","61°10′27″N 149°17′03″W﻿ / ﻿61.1743°N 149.2843°W﻿ / 61.1743; -149.2843﻿ (Anchorage)"
"70","Plano","Texas","287,677","259,841","+10.71%","71.7 sq mi","185.7 km2","3,990/sq mi","1,540/km2","33°03′03″N 96°44′52″W﻿ / ﻿33.0508°N 96.7479°W﻿ / 33.0508; -96.7479﻿ (Plano)"
"71","Orlando","Florida","287,442","238,300","+20.62%","105.2 sq mi","272.5 km2","2,635/sq mi","1,017/km2","28°25′00″N 81°16′25″W﻿ / ﻿28.4166°N 81.2736°W﻿ / 28.4166; -81.2736﻿ (Orlando)"
"72","Irvine","California","287,401","212,375","+35.33%","65.6 sq mi","169.9 km2","4,057/sq mi","1,566/km2","33°40′42″N 117°46′17″W﻿ / ﻿33.6784°N 117.7713°W﻿ / 33.6784; -117.7713﻿ (Irvine)"
"73","Newark","New Jersey","282,011","277,140","+1.76%","24.1 sq mi","62.4 km2","11,691/sq mi","4,514/km2","40°43′27″N 74°10′21″W﻿ / ﻿40.7242°N 74.1726°W﻿ / 40.7242; -74.1726﻿ (Newark)"
"74","Durham","North Carolina","278,993","228,330","+22.19%","109.8 sq mi","284.4 km2","2,395/sq mi","925/km2","35°58′52″N 78°54′10″W﻿ / ﻿35.9811°N 78.9029°W﻿ / 35.9811; -78.9029﻿ (Durham)"
"75","Chula Vista","California","274,492","243,916","+12.54%","49.6 sq mi","128.5 km2","5,387/sq mi","2,080/km2","32°37′40″N 117°00′55″W﻿ / ﻿32.6277°N 117.0152°W﻿ / 32.6277; -117.0152﻿ (Chula Vista)"
"76","Toledo","Ohio","272,779","287,208","−5.02%","80.7 sq mi","209.0 km2","3,451/sq mi","1,332/km2","41°39′51″N 83°34′55″W﻿ / ﻿41.6641°N 83.5819°W﻿ / 41.6641; -83.5819﻿ (Toledo)"
"77","Fort Wayne","Indiana","270,402","253,691","+6.59%","110.6 sq mi","286.5 km2","2,391/sq mi","923/km2","41°05′18″N 85°08′38″W﻿ / ﻿41.0882°N 85.1439°W﻿ / 41.0882; -85.1439﻿ (Fort Wayne)"
"78","St. Petersburg","Florida","265,351","244,769","+8.41%","61.8 sq mi","160.1 km2","4,223/sq mi","1,631/km2","27°45′43″N 82°38′39″W﻿ / ﻿27.7620°N 82.6441°W﻿ / 27.7620; -82.6441﻿ (St. Petersburg)"
"79","Laredo","Texas","262,491","236,091","+11.18%","101.1 sq mi","261.8 km2","2,544/sq mi","982/km2","27°33′37″N 99°29′21″W﻿ / ﻿27.5604°N 99.4892°W﻿ / 27.5604; -99.4892﻿ (Laredo)"
"80","Jersey City","New Jersey","262,075","247,597","+5.85%","14.8 sq mi","38.3 km2","17,848/sq mi","6,891/km2","40°42′41″N 74°03′53″W﻿ / ﻿40.7114°N 74.0648°W﻿ / 40.7114; -74.0648﻿ (Jersey City)"
"81","Chandler","Arizona","261,165","236,123","+10.61%","64.9 sq mi","168.1 km2","3,813/sq mi","1,472/km2","33°16′58″N 111°51′18″W﻿ / ﻿33.2829°N 111.8549°W﻿ / 33.2829; -111.8549﻿ (Chandler)"
"82","Madison","Wisconsin","259,680","233,209","+11.35%","77.0 sq mi","199.4 km2","3,280/sq mi","1,270/km2","43°05′16″N 89°25′48″W﻿ / ﻿43.0878°N 89.4299°W﻿ / 43.0878; -89.4299﻿ (Madison)"
"83","Lubbock","Texas","258,862","229,573","+12.76%","124.6 sq mi","322.7 km2","2,027/sq mi","783/km2","33°33′56″N 101°53′12″W﻿ / ﻿33.5656°N 101.8867°W﻿ / 33.5656; -101.8867﻿ (Lubbock)"
"84","Scottsdale","Arizona","258,069","217,385","+18.72%","183.9 sq mi","476.3 km2","1,341/sq mi","518/km2","33°41′03″N 111°51′40″W﻿ / ﻿33.6843°N 111.8611°W﻿ / 33.6843; -111.8611﻿ (Scottsdale)"
"85","Reno","Nevada","255,601","225,221","+13.49%","107.3 sq mi","277.9 km2","2,286/sq mi","883/km2","39°32′57″N 119°51′00″W﻿ / ﻿39.5491°N 119.8499°W﻿ / 39.5491; -119.8499﻿ (Reno)"
"86","Buffalo","New York","255,284","261,310","−2.31%","40.4 sq mi","104.6 km2","6,359/sq mi","2,455/km2","42°53′33″N 78°51′35″W﻿ / ﻿42.8925°N 78.8597°W﻿ / 42.8925; -78.8597﻿ (Buffalo)"
"87","Gilbert","Arizona","254,114","208,453","+21.90%","68.0 sq mi","176.1 km2","3,487/sq mi","1,346/km2","33°18′37″N 111°44′35″W﻿ / ﻿33.3103°N 111.7431°W﻿ / 33.3103; -111.7431﻿ (Gilbert)"
"88","Glendale","Arizona","252,381","226,721","+11.32%","59.1 sq mi","153.1 km2","4,161/sq mi","1,607/km2","33°31′59″N 112°11′24″W﻿ / ﻿33.5331°N 112.1899°W﻿ / 33.5331; -112.1899﻿ (Glendale)"
"89","North Las Vegas","Nevada","251,974","216,961","+16.14%","98.0 sq mi","253.8 km2","2,436/sq mi","941/km2","36°17′09″N 115°05′38″W﻿ / ﻿36.2857°N 115.0939°W﻿ / 36.2857; -115.0939﻿ (North Las Vegas)"
"90","Winston–Salem","North Carolina","247,945","229,617","+7.98%","132.5 sq mi","343.2 km2","1,828/sq mi","706/km2","36°06′10″N 80°15′40″W﻿ / ﻿36.1027°N 80.2610°W﻿ / 36.1027; -80.2610﻿ (Winston-Salem)"
"91","Chesapeake","Virginia","244,835","222,209","+10.18%","338.5 sq mi","876.7 km2","703/sq mi","271/km2","36°40′46″N 76°18′06″W﻿ / ﻿36.6794°N 76.3018°W﻿ / 36.6794; -76.3018﻿ (Chesapeake)"
"92","Norfolk","Virginia","242,742","242,803","−0.03%","53.3 sq mi","138.0 km2","4,599/sq mi","1,776/km2","36°55′23″N 76°14′41″W﻿ / ﻿36.9230°N 76.2446°W﻿ / 36.9230; -76.2446﻿ (Norfolk)"
"93","Fremont","California","241,110","214,089","+12.62%","77.5 sq mi","200.7 km2","3,008/sq mi","1,161/km2","37°29′40″N 121°56′28″W﻿ / ﻿37.4945°N 121.9412°W﻿ / 37.4945; -121.9412﻿ (Fremont)"
"94","Garland","Texas","239,928","226,876","+5.75%","57.0 sq mi","147.6 km2","4,122/sq mi","1,592/km2","32°54′35″N 96°37′49″W﻿ / ﻿32.9098°N 96.6303°W﻿ / 32.9098; -96.6303﻿ (Garland)"
"95","Irving","Texas","239,798","216,290","+10.87%","67.0 sq mi","173.5 km2","3,557/sq mi","1,373/km2","32°51′28″N 96°58′12″W﻿ / ﻿32.8577°N 96.9700°W﻿ / 32.8577; -96.9700﻿ (Irving)"
"96","Hialeah","Florida","233,339","224,669","+3.86%","21.5 sq mi","55.7 km2","10,995/sq mi","4,245/km2","25°52′12″N 80°18′10″W﻿ / ﻿25.8699°N 80.3029°W﻿ / 25.8699; -80.3029﻿ (Hialeah)"
"97","Richmond","Virginia","230,436","204,214","+12.84%","59.8 sq mi","154.9 km2","3,732/sq mi","1,441/km2","37°31′53″N 77°28′34″W﻿ / ﻿37.5314°N 77.4760°W﻿ / 37.5314; -77.4760﻿ (Richmond)"
"98","Boise","Idaho","228,959","205,671","+11.32%","82.1 sq mi","212.6 km2","2,718/sq mi","1,049/km2","43°36′01″N 116°13′54″W﻿ / ﻿43.6002°N 116.2317°W﻿ / 43.6002; -116.2317﻿ (Boise)"
"99","Spokane","Washington","222,081","208,916","+6.30%","68.7 sq mi","177.9 km2","3,144/sq mi","1,214/km2","47°40′01″N 117°26′00″W﻿ / ﻿47.6669°N 117.4333°W﻿ / 47.6669; -117.4333﻿ (Spokane)"
"100","Baton Rouge","Louisiana","220,236","229,493","−4.03%","85.9 sq mi","222.5 km2","2,651/sq mi","1,024/km2","30°26′32″N 91°07′51″W﻿ / ﻿30.4422°N 91.1309°W﻿ / 30.4422; -91.1309﻿ (Baton Rouge)"
"101","Tacoma","Washington","217,827","198,397","+9.79%","49.7 sq mi","128.7 km2","4,251/sq mi","1,641/km2","47°15′08″N 122°27′35″W﻿ / ﻿47.2522°N 122.4598°W﻿ / 47.2522; -122.4598﻿ (Tacoma)"
"102","San Bernardino","California","215,784","209,924","+2.79%","61.5 sq mi","159.3 km2","3,516/sq mi","1,358/km2","34°08′30″N 117°17′37″W﻿ / ﻿34.1416°N 117.2936°W﻿ / 34.1416; -117.2936﻿ (San Bernardino)"
"103","Modesto","California","215,196","201,165","+6.97%","43.0 sq mi","111.4 km2","4,934/sq mi","1,905/km2","37°38′15″N 121°00′11″W﻿ / ﻿37.6375°N 121.0030°W﻿ / 37.6375; -121.0030﻿ (Modesto)"
"104","Fontana","California","214,547","196,069","+9.42%","43.0 sq mi","111.4 km2","4,876/sq mi","1,883/km2","34°06′32″N 117°27′46″W﻿ / ﻿34.1090°N 117.4629°W﻿ / 34.1090; -117.4629﻿ (Fontana)"
