"2019 rank","City","State","2019 estimate","2010 Census","Change","2016 land area","2016 land area","2016 population density","2016 population density","Location"
"105","Des Moines","Iowa","214,237","203,433","+5.31%","88.9 sq mi","230.2 km2","2,424/sq mi","936/km2","41°34′21″N 93°36′37″W﻿ / ﻿41.5726°N 93.6102°W﻿ / 41.5726; -93.6102﻿ (Des Moines)"
"106","Moreno Valley","California","213,055","193,365","+10.18%","51.3 sq mi","132.9 km2","4,006/sq mi","1,547/km2","33°55′24″N 117°12′21″W﻿ / ﻿33.9233°N 117.2057°W﻿ / 33.9233; -117.2057﻿ (Moreno Valley)"
"107","Santa Clarita","California","212,979","176,320","+20.79%","52.8 sq mi","136.8 km2","3,446/sq mi","1,331/km2","34°24′11″N 118°30′15″W﻿ / ﻿34.4030°N 118.5042°W﻿ / 34.4030; -118.5042﻿ (Santa Clarita)"
"108","Fayetteville","North Carolina","211,657","200,564","+5.53%","147.7 sq mi","382.5 km2","1,386/sq mi","535/km2","35°04′58″N 78°58′25″W﻿ / ﻿35.0828°N 78.9735°W﻿ / 35.0828; -78.9735﻿ (Fayetteville)"
"109","Birmingham","Alabama","209,403","212,237","−1.34%","146.1 sq mi","378.4 km2","1,452/sq mi","561/km2","33°31′39″N 86°47′56″W﻿ / ﻿33.5274°N 86.7990°W﻿ / 33.5274; -86.7990﻿ (Birmingham)"
"110","Oxnard","California","208,881","197,899","+5.55%","26.9 sq mi","69.7 km2","7,729/sq mi","2,984/km2","34°12′08″N 119°12′17″W﻿ / ﻿34.2023°N 119.2046°W﻿ / 34.2023; -119.2046﻿ (Oxnard)"
"111","Rochester","New York","205,695","210,565","−2.31%","35.8 sq mi","92.7 km2","5,835/sq mi","2,253/km2","43°10′12″N 77°37′01″W﻿ / ﻿43.1699°N 77.6169°W﻿ / 43.1699; -77.6169﻿ (Rochester)"
"112","Port St. Lucie","Florida","201,846","164,603","+22.63%","118.9 sq mi","307.9 km2","1,557/sq mi","601/km2","27°16′50″N 80°23′18″W﻿ / ﻿27.2806°N 80.3883°W﻿ / 27.2806; -80.3883﻿ (Port St. Lucie)"
"113","Grand Rapids","Michigan","201,013","188,040","+6.90%","44.4 sq mi","115.0 km2","4,424/sq mi","1,708/km2","42°57′40″N 85°39′20″W﻿ / ﻿42.9612°N 85.6556°W﻿ / 42.9612; -85.6556﻿ (Grand Rapids)"
"114","Huntsville","Alabama","200,574","180,105","+11.37%","213.4 sq mi","552.7 km2","905/sq mi","349/km2","34°41′56″N 86°40′23″W﻿ / ﻿34.6990°N 86.6730°W﻿ / 34.6990; -86.6730﻿ (Huntsville)"
"115","Salt Lake City","Utah","200,567","186,440","+7.58%","111.2 sq mi","288.0 km2","1,742/sq mi","673/km2","40°46′37″N 111°55′52″W﻿ / ﻿40.7769°N 111.9310°W﻿ / 40.7769; -111.9310﻿ (Salt Lake City)"
"116","Frisco","Texas","200,490","116,989","+71.38%","67.7 sq mi","175.3 km2","2,417/sq mi","933/km2","33°09′19″N 96°49′21″W﻿ / ﻿33.1554°N 96.8226°W﻿ / 33.1554; -96.8226﻿ (Frisco)"
"117","Yonkers","New York","200,370","195,976","+2.24%","18.0 sq mi","46.6 km2","11,156/sq mi","4,307/km2","40°56′45″N 73°52′03″W﻿ / ﻿40.9459°N 73.8674°W﻿ / 40.9459; -73.8674﻿ (Yonkers)"
"118","Amarillo","Texas","199,371","190,695","+4.55%","101.4 sq mi","262.6 km2","1,968/sq mi","760/km2","35°12′00″N 101°49′49″W﻿ / ﻿35.1999°N 101.8302°W﻿ / 35.1999; -101.8302﻿ (Amarillo)"
"119","Glendale","California","199,303","191,719","+3.96%","30.4 sq mi","78.7 km2","6,606/sq mi","2,551/km2","34°10′53″N 118°14′45″W﻿ / ﻿34.1814°N 118.2458°W﻿ / 34.1814; -118.2458﻿ (Glendale)"
"120","Huntington Beach","California","199,223","189,992","+4.86%","26.9 sq mi","69.7 km2","7,459/sq mi","2,880/km2","33°41′26″N 118°00′33″W﻿ / ﻿33.6906°N 118.0093°W﻿ / 33.6906; -118.0093﻿ (Huntington Beach)"
"121","McKinney","Texas","199,177","131,117","+51.91%","63.0 sq mi","163.2 km2","2,735/sq mi","1,056/km2","33°11′55″N 96°40′05″W﻿ / ﻿33.1985°N 96.6680°W﻿ / 33.1985; -96.6680﻿ (McKinney)"
"122","Montgomery","Alabama","198,525","205,764","−3.52%","159.8 sq mi","413.9 km2","1,252/sq mi","483/km2","32°20′50″N 86°15′58″W﻿ / ﻿32.3472°N 86.2661°W﻿ / 32.3472; -86.2661﻿ (Montgomery)"
"123","Augusta","Georgia","197,888","195,844","+1.04%","302.5 sq mi","783.5 km2","652/sq mi","252/km2","33°21′56″N 82°04′24″W﻿ / ﻿33.3655°N 82.0734°W﻿ / 33.3655; -82.0734﻿ (Augusta)"
"124","Aurora","Illinois","197,757","197,899","−0.07%","44.9 sq mi","116.3 km2","4,479/sq mi","1,729/km2","41°45′49″N 88°17′24″W﻿ / ﻿41.7635°N 88.2901°W﻿ / 41.7635; -88.2901﻿ (Aurora)"
"125","Akron","Ohio","197,597","199,110","−0.76%","62.0 sq mi","160.6 km2","3,188/sq mi","1,231/km2","41°04′50″N 81°31′17″W﻿ / ﻿41.0805°N 81.5214°W﻿ / 41.0805; -81.5214﻿ (Akron)"
"126","Little Rock","Arkansas","197,312","193,524","+1.96%","118.7 sq mi","307.4 km2","1,673/sq mi","646/km2","34°43′31″N 92°21′31″W﻿ / ﻿34.7254°N 92.3586°W﻿ / 34.7254; -92.3586﻿ (Little Rock)"
"127","Tempe","Arizona","195,805","161,719","+21.08%","40.0 sq mi","103.6 km2","4,562/sq mi","1,761/km2","33°23′18″N 111°55′54″W﻿ / ﻿33.3884°N 111.9318°W﻿ / 33.3884; -111.9318﻿ (Tempe)"
"128","Columbus","Georgia","195,769","189,885","+3.10%","216.4 sq mi","560.5 km2","913/sq mi","353/km2","32°30′37″N 84°52′30″W﻿ / ﻿32.5102°N 84.8749°W﻿ / 32.5102; -84.8749﻿ (Columbus)"
"129","Overland Park","Kansas","195,494","173,372","+12.76%","75.1 sq mi","194.5 km2","2,516/sq mi","971/km2","38°53′20″N 94°41′26″W﻿ / ﻿38.8890°N 94.6906°W﻿ / 38.8890; -94.6906﻿ (Overland Park)"
"130","Grand Prairie","Texas","194,543","175,396","+10.92%","72.3 sq mi","187.3 km2","2,637/sq mi","1,018/km2","32°41′13″N 97°01′16″W﻿ / ﻿32.6869°N 97.0211°W﻿ / 32.6869; -97.0211﻿ (Grand Prairie)"
"131","Tallahassee","Florida","194,500","181,376","+7.24%","100.4 sq mi","260.0 km2","1,901/sq mi","734/km2","30°27′18″N 84°15′12″W﻿ / ﻿30.4551°N 84.2534°W﻿ / 30.4551; -84.2534﻿ (Tallahassee)"
"132","Cape Coral","Florida","194,495","154,305","+26.05%","105.6 sq mi","273.5 km2","1,703/sq mi","658/km2","26°38′36″N 81°59′51″W﻿ / ﻿26.6432°N 81.9974°W﻿ / 26.6432; -81.9974﻿ (Cape Coral)"
"133","Mobile","Alabama","188,720","195,111","−3.28%","139.4 sq mi","361.0 km2","1,384/sq mi","534/km2","30°40′06″N 88°06′01″W﻿ / ﻿30.6684°N 88.1002°W﻿ / 30.6684; -88.1002﻿ (Mobile)"
"134","Knoxville","Tennessee","187,603","178,874","+4.88%","98.5 sq mi","255.1 km2","1,891/sq mi","730/km2","35°58′15″N 83°56′57″W﻿ / ﻿35.9707°N 83.9493°W﻿ / 35.9707; -83.9493﻿ (Knoxville)"
"135","Shreveport","Louisiana","187,112","199,311","−6.12%","107.1 sq mi","277.4 km2","1,820/sq mi","700/km2","32°28′01″N 93°47′32″W﻿ / ﻿32.4669°N 93.7922°W﻿ / 32.4669; -93.7922﻿ (Shreveport)"
"136","Worcester","Massachusetts","185,428","181,045","+2.42%","37.4 sq mi","96.9 km2","4,933/sq mi","1,905/km2","42°16′10″N 71°48′28″W﻿ / ﻿42.2695°N 71.8078°W﻿ / 42.2695; -71.8078﻿ (Worcester)"
"137","Ontario","California","185,010","163,924","+12.86%","49.9 sq mi","129.2 km2","3,471/sq mi","1,340/km2","34°02′22″N 117°36′15″W﻿ / ﻿34.0394°N 117.6042°W﻿ / 34.0394; -117.6042﻿ (Ontario)"
"138","Vancouver","Washington","184,463","161,791","+14.01%","46.9 sq mi","121.5 km2","3,728/sq mi","1,439/km2","45°38′06″N 122°35′45″W﻿ / ﻿45.6349°N 122.5957°W﻿ / 45.6349; -122.5957﻿ (Vancouver)"
"139","Sioux Falls","South Dakota","183,793","153,888","+19.43%","75.4 sq mi","195.3 km2","2,312/sq mi","893/km2","43°32′18″N 96°43′55″W﻿ / ﻿43.5383°N 96.7320°W﻿ / 43.5383; -96.7320﻿ (Sioux Falls)"
"140","Chattanooga","Tennessee","182,799","167,674","+9.02%","143.1 sq mi","370.6 km2","1,241/sq mi","479/km2","35°03′58″N 85°14′54″W﻿ / ﻿35.0660°N 85.2484°W﻿ / 35.0660; -85.2484﻿ (Chattanooga)"
"141","Brownsville","Texas","182,781","175,023","+4.43%","132.5 sq mi","343.2 km2","1,387/sq mi","536/km2","25°59′57″N 97°27′18″W﻿ / ﻿25.9991°N 97.4550°W﻿ / 25.9991; -97.4550﻿ (Brownsville)"
"142","Fort Lauderdale","Florida","182,437","165,521","+10.22%","34.6 sq mi","89.6 km2","5,166/sq mi","1,995/km2","26°08′28″N 80°08′48″W﻿ / ﻿26.1412°N 80.1467°W﻿ / 26.1412; -80.1467﻿ (Fort Lauderdale)"
"143","Providence","Rhode Island","179,883","178,042","+1.03%","18.4 sq mi","47.7 km2","9,740/sq mi","3,760/km2","41°49′23″N 71°25′08″W﻿ / ﻿41.8231°N 71.4188°W﻿ / 41.8231; -71.4188﻿ (Providence)"
"144","Newport News","Virginia","179,225","180,719","−0.83%","69.1 sq mi","179.0 km2","2,631/sq mi","1,016/km2","37°04′34″N 76°31′19″W﻿ / ﻿37.0762°N 76.5220°W﻿ / 37.0762; -76.5220﻿ (Newport News)"
"145","Rancho Cucamonga","California","177,603","165,269","+7.46%","40.0 sq mi","103.6 km2","4,413/sq mi","1,704/km2","34°07′24″N 117°33′51″W﻿ / ﻿34.1233°N 117.5642°W﻿ / 34.1233; -117.5642﻿ (Rancho Cucamonga)"
"146","Santa Rosa","California","176,753","167,815","+5.33%","41.3 sq mi","107.0 km2","4,241/sq mi","1,637/km2","38°26′48″N 122°42′22″W﻿ / ﻿38.4468°N 122.7061°W﻿ / 38.4468; -122.7061﻿ (Santa Rosa)"
"147","Peoria","Arizona","175,961","154,065","+14.21%","175.7 sq mi","455.1 km2","934/sq mi","361/km2","33°47′10″N 112°18′29″W﻿ / ﻿33.7862°N 112.3080°W﻿ / 33.7862; -112.3080﻿ (Peoria)"
"148","Oceanside","California","175,742","167,086","+5.18%","41.3 sq mi","107.0 km2","4,249/sq mi","1,641/km2","33°13′28″N 117°18′22″W﻿ / ﻿33.2245°N 117.3062°W﻿ / 33.2245; -117.3062﻿ (Oceanside)"
"149","Elk Grove","California","174,775","153,015","+14.22%","42.2 sq mi","109.3 km2","4,022/sq mi","1,553/km2","38°24′53″N 121°23′06″W﻿ / ﻿38.4146°N 121.3850°W﻿ / 38.4146; -121.3850﻿ (Elk Grove)"
"150","Salem","Oregon","174,365","154,637","+12.76%","48.6 sq mi","125.9 km2","3,445/sq mi","1,330/km2","44°55′25″N 123°01′24″W﻿ / ﻿44.9237°N 123.0232°W﻿ / 44.9237; -123.0232﻿ (Salem)"
"151","Pembroke Pines","Florida","173,591","154,019","+12.71%","33.0 sq mi","85.5 km2","5,109/sq mi","1,973/km2","26°01′16″N 80°20′25″W﻿ / ﻿26.0210°N 80.3404°W﻿ / 26.0210; -80.3404﻿ (Pembroke Pines)"
"152","Eugene","Oregon","172,622","156,185","+10.52%","44.1 sq mi","114.2 km2","3,777/sq mi","1,458/km2","44°03′24″N 123°06′58″W﻿ / ﻿44.0567°N 123.1162°W﻿ / 44.0567; -123.1162﻿ (Eugene)"
"153","Garden Grove","California","171,644","170,883","+0.45%","18.0 sq mi","46.6 km2","9,714/sq mi","3,751/km2","33°46′44″N 117°57′38″W﻿ / ﻿33.7788°N 117.9605°W﻿ / 33.7788; -117.9605﻿ (Garden Grove)"
"154","Cary","North Carolina","170,282","135,234","+25.92%","56.5 sq mi","146.3 km2","2,873/sq mi","1,109/km2","35°46′51″N 78°48′48″W﻿ / ﻿35.7809°N 78.8133°W﻿ / 35.7809; -78.8133﻿ (Cary)"
"155","Fort Collins","Colorado","170,243","143,986","+18.24%","55.8 sq mi","144.5 km2","2,943/sq mi","1,136/km2","40°32′54″N 105°03′53″W﻿ / ﻿40.5482°N 105.0648°W﻿ / 40.5482; -105.0648﻿ (Fort Collins)"
"156","Corona","California","169,868","152,374","+11.48%","39.5 sq mi","102.3 km2","4,222/sq mi","1,630/km2","33°51′43″N 117°33′56″W﻿ / ﻿33.8620°N 117.5655°W﻿ / 33.8620; -117.5655﻿ (Corona)"
"157","Springfield","Missouri","167,882","159,498","+5.26%","82.3 sq mi","213.2 km2","2,033/sq mi","785/km2","37°11′39″N 93°17′29″W﻿ / ﻿37.1942°N 93.2913°W﻿ / 37.1942; -93.2913﻿ (Springfield)"
"158","Jackson","Mississippi","160,628","173,514","−7.43%","111.0 sq mi","287.5 km2","1,524/sq mi","588/km2","32°18′57″N 90°12′46″W﻿ / ﻿32.3158°N 90.2128°W﻿ / 32.3158; -90.2128﻿ (Jackson)"
"159","Alexandria","Virginia","159,428","139,966","+13.90%","15.0 sq mi","38.8 km2","10,387/sq mi","4,010/km2","38°49′12″N 77°05′03″W﻿ / ﻿38.8201°N 77.0841°W﻿ / 38.8201; -77.0841﻿ (Alexandria)"
"160","Hayward","California","159,203","144,186","+10.42%","45.5 sq mi","117.8 km2","3,493/sq mi","1,349/km2","37°37′43″N 122°06′09″W﻿ / ﻿37.6287°N 122.1024°W﻿ / 37.6287; -122.1024﻿ (Hayward)"
"161","Clarksville","Tennessee","158,146","132,929","+18.97%","98.3 sq mi","254.6 km2","1,529/sq mi","590/km2","36°33′59″N 87°20′43″W﻿ / ﻿36.5664°N 87.3452°W﻿ / 36.5664; -87.3452﻿ (Clarksville)"
"162","Lakewood","Colorado","157,935","142,980","+10.46%","42.9 sq mi","111.1 km2","3,599/sq mi","1,390/km2","39°41′56″N 105°07′03″W﻿ / ﻿39.6989°N 105.1176°W﻿ / 39.6989; -105.1176﻿ (Lakewood)"
"163","Lancaster","California","157,601","156,633","+0.62%","94.3 sq mi","244.2 km2","1,698/sq mi","656/km2","34°41′37″N 118°10′31″W﻿ / ﻿34.6936°N 118.1753°W﻿ / 34.6936; -118.1753﻿ (Lancaster)"
"164","Salinas","California","155,465","150,441","+3.34%","23.6 sq mi","61.1 km2","6,662/sq mi","2,572/km2","36°41′25″N 121°38′01″W﻿ / ﻿36.6902°N 121.6337°W﻿ / 36.6902; -121.6337﻿ (Salinas)"
"165","Palmdale","California","155,079","152,750","+1.52%","106.0 sq mi","274.5 km2","1,484/sq mi","573/km2","34°35′28″N 118°06′19″W﻿ / ﻿34.5910°N 118.1054°W﻿ / 34.5910; -118.1054﻿ (Palmdale)"
"166","Hollywood","Florida","154,817","140,768","+9.98%","27.3 sq mi","70.7 km2","5,568/sq mi","2,150/km2","26°01′52″N 80°09′53″W﻿ / ﻿26.0310°N 80.1646°W﻿ / 26.0310; -80.1646﻿ (Hollywood)"
"167","Springfield","Massachusetts","153,606","153,060","+0.36%","31.9 sq mi","82.6 km2","4,830/sq mi","1,860/km2","42°06′56″N 72°32′24″W﻿ / ﻿42.1155°N 72.5400°W﻿ / 42.1155; -72.5400﻿ (Springfield)"
"168","Macon","Georgia","153,159","91,351","+67.66%","249.3 sq mi","645.7 km2","612/sq mi","236/km2","32°48′32″N 83°41′39″W﻿ / ﻿32.8088°N 83.6942°W﻿ / 32.8088; -83.6942﻿ (Macon)"
"169","Kansas City","Kansas","152,960","145,786","+4.92%","124.8 sq mi","323.2 km2","1,216/sq mi","470/km2","39°07′21″N 94°44′30″W﻿ / ﻿39.1225°N 94.7418°W﻿ / 39.1225; -94.7418﻿ (Kansas City)"
"170","Sunnyvale","California","152,703","140,081","+9.01%","22.0 sq mi","57.0 km2","6,944/sq mi","2,681/km2","37°23′09″N 122°01′35″W﻿ / ﻿37.3858°N 122.0263°W﻿ / 37.3858; -122.0263﻿ (Sunnyvale)"
"171","Pomona","California","151,691","149,058","+1.77%","23.0 sq mi","59.6 km2","6,630/sq mi","2,560/km2","34°03′31″N 117°45′40″W﻿ / ﻿34.0585°N 117.7611°W﻿ / 34.0585; -117.7611﻿ (Pomona)"
"172","Killeen","Texas","151,666","127,921","+18.56%","53.5 sq mi","138.6 km2","2,680/sq mi","1,030/km2","31°04′40″N 97°43′55″W﻿ / ﻿31.0777°N 97.7320°W﻿ / 31.0777; -97.7320﻿ (Killeen)"
"173","Escondido","California","151,625","143,911","+5.36%","37.1 sq mi","96.1 km2","4,087/sq mi","1,578/km2","33°07′59″N 117°04′26″W﻿ / ﻿33.1331°N 117.0740°W﻿ / 33.1331; -117.0740﻿ (Escondido)"
"174","Pasadena","Texas","151,227","149,043","+1.47%","43.5 sq mi","112.7 km2","3,525/sq mi","1,361/km2","29°39′31″N 95°09′02″W﻿ / ﻿29.6586°N 95.1506°W﻿ / 29.6586; -95.1506﻿ (Pasadena)"
"175","Naperville","Illinois","148,449","141,853","+4.65%","38.7 sq mi","100.2 km2","3,802/sq mi","1,468/km2","41°44′57″N 88°09′43″W﻿ / ﻿41.7492°N 88.1620°W﻿ / 41.7492; -88.1620﻿ (Naperville)"
"176","Bellevue","Washington","148,164","122,363","+21.09%","33.5 sq mi","86.8 km2","4,221/sq mi","1,630/km2","47°35′52″N 122°09′23″W﻿ / ﻿47.5979°N 122.1565°W﻿ / 47.5979; -122.1565﻿ (Bellevue)"
"177","Joliet","Illinois","147,344","147,433","−0.06%","64.4 sq mi","166.8 km2","2,302/sq mi","889/km2","41°31′04″N 88°08′56″W﻿ / ﻿41.5177°N 88.1488°W﻿ / 41.5177; -88.1488﻿ (Joliet)"
"178","Murfreesboro","Tennessee","146,900","108,755","+35.07%","55.9 sq mi","144.8 km2","2,360/sq mi","910/km2","35°51′08″N 86°24′58″W﻿ / ﻿35.8522°N 86.4160°W﻿ / 35.8522; -86.4160﻿ (Murfreesboro)"
"179","Midland","Texas","146,038","111,147","+31.39%","74.4 sq mi","192.7 km2","1,809/sq mi","698/km2","32°01′29″N 102°06′49″W﻿ / ﻿32.0246°N 102.1135°W﻿ / 32.0246; -102.1135﻿ (Midland)"
"180","Rockford","Illinois","145,609","152,871","−4.75%","63.5 sq mi","164.5 km2","2,325/sq mi","898/km2","42°15′32″N 89°03′53″W﻿ / ﻿42.2588°N 89.0646°W﻿ / 42.2588; -89.0646﻿ (Rockford)"
"181","Paterson","New Jersey","145,233","146,199","−0.66%","8.4 sq mi","21.8 km2","17,500/sq mi","6,800/km2","40°54′53″N 74°09′46″W﻿ / ﻿40.9148°N 74.1628°W﻿ / 40.9148; -74.1628﻿ (Paterson)"
"182","Savannah","Georgia","144,464","136,286","+6.00%","103.6 sq mi","268.3 km2","1,417/sq mi","547/km2","32°00′09″N 81°09′13″W﻿ / ﻿32.0025°N 81.1536°W﻿ / 32.0025; -81.1536﻿ (Savannah)"
"183","Bridgeport","Connecticut","144,399","144,229","+0.12%","16.1 sq mi","41.7 km2","9,064/sq mi","3,500/km2","41°11′15″N 73°11′45″W﻿ / ﻿41.1874°N 73.1958°W﻿ / 41.1874; -73.1958﻿ (Bridgeport)"
"184","Torrance","California","143,592","145,438","−1.27%","20.5 sq mi","53.1 km2","7,180/sq mi","2,770/km2","33°50′06″N 118°20′29″W﻿ / ﻿33.8350°N 118.3414°W﻿ / 33.8350; -118.3414﻿ (Torrance)"
"185","McAllen","Texas","143,268","129,877","+10.31%","58.4 sq mi","151.3 km2","2,435/sq mi","940/km2","26°13′56″N 98°14′47″W﻿ / ﻿26.2322°N 98.2464°W﻿ / 26.2322; -98.2464﻿ (McAllen)"
"186","Syracuse","New York","142,327","145,170","−1.96%","25.0 sq mi","64.7 km2","5,735/sq mi","2,214/km2","43°02′28″N 76°08′37″W﻿ / ﻿43.0410°N 76.1436°W﻿ / 43.0410; -76.1436﻿ (Syracuse)"
"187","Surprise","Arizona","141,664","117,517","+20.55%","107.9 sq mi","279.5 km2","1,230/sq mi","470/km2","33°40′14″N 112°27′10″W﻿ / ﻿33.6706°N 112.4527°W﻿ / 33.6706; -112.4527﻿ (Surprise)"
"188","Denton","Texas","141,541","113,383","+24.83%","93.4 sq mi","241.9 km2","1,433/sq mi","553/km2","33°13′00″N 97°08′29″W﻿ / ﻿33.2166°N 97.1414°W﻿ / 33.2166; -97.1414﻿ (Denton)"
"189","Roseville","California","141,500","118,788","+19.12%","43.0 sq mi","111.4 km2","3,085/sq mi","1,191/km2","38°46′08″N 121°19′08″W﻿ / ﻿38.7690°N 121.3189°W﻿ / 38.7690; -121.3189﻿ (Roseville)"
"190","Thornton","Colorado","141,464","118,772","+19.11%","35.7 sq mi","92.5 km2","3,829/sq mi","1,478/km2","39°55′10″N 104°56′34″W﻿ / ﻿39.9194°N 104.9428°W﻿ / 39.9194; -104.9428﻿ (Thornton)"
"191","Miramar","Florida","141,191","122,041","+15.69%","29.4 sq mi","76.1 km2","4,709/sq mi","1,818/km2","25°58′37″N 80°20′09″W﻿ / ﻿25.9770°N 80.3358°W﻿ / 25.9770; -80.3358﻿ (Miramar)"
"192","Pasadena","California","141,029","137,122","+2.85%","23.0 sq mi","59.6 km2","6,176/sq mi","2,385/km2","34°09′38″N 118°08′23″W﻿ / ﻿34.1606°N 118.1396°W﻿ / 34.1606; -118.1396﻿ (Pasadena)"
"193","Mesquite","Texas","140,937","139,824","+0.80%","47.2 sq mi","122.2 km2","3,045/sq mi","1,176/km2","32°45′46″N 96°35′20″W﻿ / ﻿32.7629°N 96.5888°W﻿ / 32.7629; -96.5888﻿ (Mesquite)"
"194","Olathe","Kansas","140,545","125,872","+11.66%","60.9 sq mi","157.7 km2","2,225/sq mi","859/km2","38°53′03″N 94°49′10″W﻿ / ﻿38.8843°N 94.8195°W﻿ / 38.8843; -94.8195﻿ (Olathe)"
"195","Dayton","Ohio","140,407","141,527","−0.79%","55.7 sq mi","144.3 km2","2,522/sq mi","974/km2","39°46′39″N 84°11′59″W﻿ / ﻿39.7774°N 84.1996°W﻿ / 39.7774; -84.1996﻿ (Dayton)"
"196","Carrollton","Texas","139,248","119,097","+16.92%","36.3 sq mi","94.0 km2","3,674/sq mi","1,419/km2","32°59′18″N 96°53′59″W﻿ / ﻿32.9884°N 96.8998°W﻿ / 32.9884; -96.8998﻿ (Carrollton)"
"197","Waco","Texas","139,236","124,805","+11.56%","89.0 sq mi","230.5 km2","1,510/sq mi","580/km2","31°33′36″N 97°11′10″W﻿ / ﻿31.5601°N 97.1860°W﻿ / 31.5601; -97.1860﻿ (Waco)"
"198","Orange","California","138,669","136,416","+1.65%","25.4 sq mi","65.8 km2","5,532/sq mi","2,136/km2","33°47′13″N 117°51′41″W﻿ / ﻿33.7870°N 117.8613°W﻿ / 33.7870; -117.8613﻿ (Orange)"
"199","Fullerton","California","138,632","135,161","+2.57%","22.4 sq mi","58.0 km2","6,282/sq mi","2,425/km2","33°53′09″N 117°55′41″W﻿ / ﻿33.8857°N 117.9280°W﻿ / 33.8857; -117.9280﻿ (Fullerton)"
"200","Charleston","South Carolina","137,566","120,083","+14.56%","109.0 sq mi","282.3 km2","1,233/sq mi","476/km2","32°49′04″N 79°57′32″W﻿ / ﻿32.8179°N 79.9590°W﻿ / 32.8179; -79.9590﻿ (Charleston)"
"201","West Valley City","Utah","135,248","129,480","+4.45%","35.5 sq mi","91.9 km2","3,847/sq mi","1,485/km2","40°41′19″N 112°00′42″W﻿ / ﻿40.6885°N 112.0118°W﻿ / 40.6885; -112.0118﻿ (West Valley City)"
"202","Visalia","California","134,605","124,442","+8.17%","37.5 sq mi","97.1 km2","3,495/sq mi","1,349/km2","36°19′38″N 119°19′44″W﻿ / ﻿36.3273°N 119.3289°W﻿ / 36.3273; -119.3289﻿ (Visalia)"
"203","Hampton","Virginia","134,510","137,436","−2.13%","51.5 sq mi","133.4 km2","2,629/sq mi","1,015/km2","37°02′53″N 76°17′50″W﻿ / ﻿37.0480°N 76.2971°W﻿ / 37.0480; -76.2971﻿ (Hampton)"
"204","Gainesville","Florida","133,997","124,354","+7.75%","62.3 sq mi","161.4 km2","2,112/sq mi","815/km2","29°40′44″N 82°20′46″W﻿ / ﻿29.6788°N 82.3461°W﻿ / 29.6788; -82.3461﻿ (Gainesville)"
"205","Warren","Michigan","133,943","134,056","−0.08%","34.4 sq mi","89.1 km2","3,928/sq mi","1,517/km2","42°29′34″N 83°01′30″W﻿ / ﻿42.4929°N 83.0250°W﻿ / 42.4929; -83.0250﻿ (Warren)"
"206","Coral Springs","Florida","133,759","121,096","+10.46%","23.8 sq mi","61.6 km2","5,465/sq mi","2,110/km2","26°16′15″N 80°15′33″W﻿ / ﻿26.2707°N 80.2593°W﻿ / 26.2707; -80.2593﻿ (Coral Springs)"
"207","Cedar Rapids","Iowa","133,562","126,326","+5.73%","70.8 sq mi","183.4 km2","1,852/sq mi","715/km2","41°58′01″N 91°40′40″W﻿ / ﻿41.9670°N 91.6778°W﻿ / 41.9670; -91.6778﻿ (Cedar Rapids)"
"208","Round Rock","Texas","133,372","99,887","+33.52%","35.6 sq mi","92.2 km2","3,396/sq mi","1,311/km2","30°31′31″N 97°39′58″W﻿ / ﻿30.5252°N 97.6660°W﻿ / 30.5252; -97.6660﻿ (Round Rock)"
"209","Sterling Heights","Michigan","132,438","129,699","+2.11%","36.5 sq mi","94.5 km2","3,628/sq mi","1,401/km2","42°34′52″N 83°01′49″W﻿ / ﻿42.5812°N 83.0303°W﻿ / 42.5812; -83.0303﻿ (Sterling Heights)"
"210","Kent","Washington","132,319","92,411","+43.19%","33.7 sq mi","87.3 km2","3,784/sq mi","1,461/km2","47°23′17″N 122°12′46″W﻿ / ﻿47.3880°N 122.2127°W﻿ / 47.3880; -122.2127﻿ (Kent)"
