"2019 rank","City","State","2019 estimate","2010 Census","Change","2016 land area","2016 land area","2016 population density","2016 population density","Location"
"211","Columbia","South Carolina","131,674","129,272","+1.86%","133.5 sq mi","345.8 km2","1,006/sq mi","388/km2","34°01′45″N 80°53′53″W﻿ / ﻿34.0291°N 80.8980°W﻿ / 34.0291; -80.8980﻿ (Columbia)"
"212","Santa Clara","California","130,365","116,468","+11.93%","18.4 sq mi","47.7 km2","6,845/sq mi","2,643/km2","37°21′53″N 121°58′04″W﻿ / ﻿37.3646°N 121.9679°W﻿ / 37.3646; -121.9679﻿ (Santa Clara)"
"213","New Haven","Connecticut","130,250","129,779","+0.36%","18.7 sq mi","48.4 km2","6,948/sq mi","2,683/km2","41°18′39″N 72°55′30″W﻿ / ﻿41.3108°N 72.9250°W﻿ / 41.3108; -72.9250﻿ (New Haven)"
"214","Stamford","Connecticut","129,638","122,643","+5.70%","37.6 sq mi","97.4 km2","3,434/sq mi","1,326/km2","41°04′48″N 73°32′46″W﻿ / ﻿41.0799°N 73.5460°W﻿ / 41.0799; -73.5460﻿ (Stamford)"
"215","Concord","California","129,295","122,067","+5.92%","30.5 sq mi","79.0 km2","4,221/sq mi","1,630/km2","37°58′20″N 122°00′06″W﻿ / ﻿37.9722°N 122.0016°W﻿ / 37.9722; -122.0016﻿ (Concord)"
"216","Elizabeth","New Jersey","129,216","124,969","+3.40%","12.3 sq mi","31.9 km2","10,459/sq mi","4,038/km2","40°39′59″N 74°11′37″W﻿ / ﻿40.6664°N 74.1935°W﻿ / 40.6664; -74.1935﻿ (Elizabeth)"
"217","Athens","Georgia","126,913","115,452","+9.93%","116.4 sq mi","301.5 km2","1,060/sq mi","410/km2","33°56′59″N 83°22′12″W﻿ / ﻿33.9496°N 83.3701°W﻿ / 33.9496; -83.3701﻿ (Athens)"
"218","Thousand Oaks","California","126,813","126,683","+0.10%","55.2 sq mi","143.0 km2","2,335/sq mi","902/km2","34°11′36″N 118°52′27″W﻿ / ﻿34.1933°N 118.8742°W﻿ / 34.1933; -118.8742﻿ (Thousand Oaks)"
"219","Lafayette","Louisiana","126,185","120,623","+4.61%","53.8 sq mi","139.3 km2","2,372/sq mi","916/km2","30°12′27″N 92°01′43″W﻿ / ﻿30.2074°N 92.0285°W﻿ / 30.2074; -92.0285﻿ (Lafayette)"
"220","Simi Valley","California","125,613","124,237","+1.11%","41.5 sq mi","107.5 km2","3,044/sq mi","1,175/km2","34°16′01″N 118°44′55″W﻿ / ﻿34.2669°N 118.7485°W﻿ / 34.2669; -118.7485﻿ (Simi Valley)"
"221","Topeka","Kansas","125,310","127,473","−1.70%","61.5 sq mi","159.3 km2","2,062/sq mi","796/km2","39°02′05″N 95°41′46″W﻿ / ﻿39.0347°N 95.6962°W﻿ / 39.0347; -95.6962﻿ (Topeka)"
"222","Norman","Oklahoma","124,880","110,925","+12.58%","178.8 sq mi","463.1 km2","683/sq mi","264/km2","35°14′26″N 97°20′43″W﻿ / ﻿35.2406°N 97.3453°W﻿ / 35.2406; -97.3453﻿ (Norman)"
"223","Fargo","North Dakota","124,662","105,549","+18.11%","49.3 sq mi","127.7 km2","2,450/sq mi","950/km2","46°51′55″N 96°49′44″W﻿ / ﻿46.8652°N 96.8290°W﻿ / 46.8652; -96.8290﻿ (Fargo)"
"224","Wilmington","North Carolina","123,744","106,476","+16.22%","51.6 sq mi","133.6 km2","2,278/sq mi","880/km2","34°12′33″N 77°53′09″W﻿ / ﻿34.2092°N 77.8858°W﻿ / 34.2092; -77.8858﻿ (Wilmington)"
"225","Abilene","Texas","123,420","117,063","+5.43%","106.7 sq mi","276.4 km2","1,146/sq mi","442/km2","32°27′16″N 99°44′17″W﻿ / ﻿32.4545°N 99.7381°W﻿ / 32.4545; -99.7381﻿ (Abilene)"
"226","Odessa","Texas","123,334","99,940","+23.41%","45.2 sq mi","117.1 km2","2,608/sq mi","1,007/km2","31°53′02″N 102°20′28″W﻿ / ﻿31.8838°N 102.3411°W﻿ / 31.8838; -102.3411﻿ (Odessa)"
"227","Columbia","Missouri","123,195","108,500","+13.54%","65.0 sq mi","168.3 km2","1,856/sq mi","717/km2","38°57′06″N 92°19′43″W﻿ / ﻿38.951561°N 92.328638°W﻿ / 38.951561; -92.328638﻿ (Columbia)"
"228","Pearland","Texas","122,460","91,252","+34.20%","46.3 sq mi","119.9 km2","2,453/sq mi","947/km2","29°33′21″N 95°19′23″W﻿ / ﻿29.5558°N 95.3231°W﻿ / 29.5558; -95.3231﻿ (Pearland)"
"229","Victorville","California","122,385","115,903","+5.59%","73.3 sq mi","189.8 km2","1,668/sq mi","644/km2","34°31′40″N 117°21′13″W﻿ / ﻿34.5277°N 117.3536°W﻿ / 34.5277; -117.3536﻿ (Victorville)"
"230","Hartford","Connecticut","122,105","124,775","−2.14%","17.4 sq mi","45.1 km2","7,083/sq mi","2,735/km2","41°45′57″N 72°40′54″W﻿ / ﻿41.7659°N 72.6816°W﻿ / 41.7659; -72.6816﻿ (Hartford)"
"231","Vallejo","California","121,692","115,942","+4.96%","30.7 sq mi","79.5 km2","3,951/sq mi","1,525/km2","38°06′28″N 122°15′50″W﻿ / ﻿38.1079°N 122.2640°W﻿ / 38.1079; -122.2640﻿ (Vallejo)"
"232","Allentown","Pennsylvania","121,442","118,032","+2.89%","17.5 sq mi","45.3 km2","6,882/sq mi","2,657/km2","40°35′37″N 75°28′42″W﻿ / ﻿40.5936°N 75.4784°W﻿ / 40.5936; -75.4784﻿ (Allentown)"
"233","Berkeley","California","121,363","112,580","+7.80%","10.5 sq mi","27.2 km2","11,547/sq mi","4,458/km2","37°52′01″N 122°17′57″W﻿ / ﻿37.8670°N 122.2991°W﻿ / 37.8670; -122.2991﻿ (Berkeley)"
"234","Richardson","Texas","121,323","99,223","+22.27%","28.6 sq mi","74.1 km2","3,963/sq mi","1,530/km2","32°58′20″N 96°42′29″W﻿ / ﻿32.9723°N 96.7081°W﻿ / 32.9723; -96.7081﻿ (Richardson)"
"235","Arvada","Colorado","121,272","106,433","+13.94%","38.6 sq mi","100.0 km2","3,043/sq mi","1,175/km2","39°50′01″N 105°09′01″W﻿ / ﻿39.8337°N 105.1503°W﻿ / 39.8337; -105.1503﻿ (Arvada)"
"236","Ann Arbor","Michigan","119,980","113,934","+5.31%","28.1 sq mi","72.8 km2","4,298/sq mi","1,659/km2","42°16′34″N 83°43′51″W﻿ / ﻿42.2761°N 83.7309°W﻿ / 42.2761; -83.7309﻿ (Ann Arbor)"
"237","Rochester","Minnesota","118,935","106,769","+11.39%","54.6 sq mi","141.4 km2","2,088/sq mi","806/km2","44°00′55″N 92°28′38″W﻿ / ﻿44.0154°N 92.4772°W﻿ / 44.0154; -92.4772﻿ (Rochester)"
"238","Cambridge","Massachusetts","118,927","105,162","+13.09%","6.4 sq mi","16.6 km2","17,289/sq mi","6,675/km2","42°22′34″N 71°07′07″W﻿ / ﻿42.3760°N 71.1187°W﻿ / 42.3760; -71.1187﻿ (Cambridge)"
"239","Sugar Land","Texas","118,488","78,817","+50.33%","34.0 sq mi","88.1 km2","3,488/sq mi","1,347/km2","29°35′58″N 95°36′51″W﻿ / ﻿29.5994°N 95.6142°W﻿ / 29.5994; -95.6142﻿ (Sugar Land)"
"240","Lansing","Michigan","118,210","114,297","+3.42%","39.1 sq mi","101.3 km2","2,967/sq mi","1,146/km2","42°42′51″N 84°33′33″W﻿ / ﻿42.7143°N 84.5593°W﻿ / 42.7143; -84.5593﻿ (Lansing)"
"241","Evansville","Indiana","117,979","117,429","+0.47%","47.3 sq mi","122.5 km2","2,526/sq mi","975/km2","37°59′16″N 87°32′05″W﻿ / ﻿37.9877°N 87.5347°W﻿ / 37.9877; -87.5347﻿ (Evansville)"
"242","College Station","Texas","117,911","93,857","+25.63%","51.0 sq mi","132.1 km2","2,199/sq mi","849/km2","30°35′07″N 96°17′47″W﻿ / ﻿30.5852°N 96.2964°W﻿ / 30.5852; -96.2964﻿ (College Station)"
"243","Fairfield","California","117,133","105,321","+11.22%","40.9 sq mi","105.9 km2","2,806/sq mi","1,083/km2","38°15′33″N 122°01′56″W﻿ / ﻿38.2593°N 122.0321°W﻿ / 38.2593; -122.0321﻿ (Fairfield)"
"244","Clearwater","Florida","116,946","107,685","+8.60%","25.9 sq mi","67.1 km2","4,415/sq mi","1,705/km2","27°58′44″N 82°46′00″W﻿ / ﻿27.9789°N 82.7666°W﻿ / 27.9789; -82.7666﻿ (Clearwater)"
"245","Beaumont","Texas","116,825","118,296","−1.24%","82.1 sq mi","212.6 km2","1,441/sq mi","556/km2","30°05′06″N 94°08′43″W﻿ / ﻿30.0849°N 94.1453°W﻿ / 30.0849; -94.1453﻿ (Beaumont)"
"246","Independence","Missouri","116,672","116,830","−0.14%","77.8 sq mi","201.5 km2","1,504/sq mi","581/km2","39°05′08″N 94°21′08″W﻿ / ﻿39.0855°N 94.3521°W﻿ / 39.0855; -94.3521﻿ (Independence)"
"247","Provo","Utah","116,618","112,488","+3.67%","41.7 sq mi","108.0 km2","2,803/sq mi","1,082/km2","40°14′43″N 111°38′41″W﻿ / ﻿40.2453°N 111.6448°W﻿ / 40.2453; -111.6448﻿ (Provo)"
"248","West Jordan","Utah","116,480","103,712","+12.31%","32.3 sq mi","83.7 km2","3,520/sq mi","1,360/km2","40°36′09″N 112°00′03″W﻿ / ﻿40.6024°N 112.0008°W﻿ / 40.6024; -112.0008﻿ (West Jordan)"
"249","Murrieta","California","116,223","103,466","+12.33%","33.6 sq mi","87.0 km2","3,324/sq mi","1,283/km2","33°34′20″N 117°11′25″W﻿ / ﻿33.5721°N 117.1904°W﻿ / 33.5721; -117.1904﻿ (Murrieta)"
"250","Palm Bay","Florida","115,552","103,190","+11.98%","65.7 sq mi","170.2 km2","1,676/sq mi","647/km2","27°59′08″N 80°39′45″W﻿ / ﻿27.9856°N 80.6626°W﻿ / 27.9856; -80.6626﻿ (Palm Bay)"
"251","El Monte","California","115,487","113,475","+1.77%","9.6 sq mi","24.9 km2","12,063/sq mi","4,658/km2","34°04′29″N 118°01′45″W﻿ / ﻿34.0746°N 118.0291°W﻿ / 34.0746; -118.0291﻿ (El Monte)"
"252","Carlsbad","California","115,382","105,328","+9.55%","37.7 sq mi","97.6 km2","3,023/sq mi","1,167/km2","33°07′26″N 117°16′58″W﻿ / ﻿33.1239°N 117.2828°W﻿ / 33.1239; -117.2828﻿ (Carlsbad)"
"252","North Charleston","South Carolina","115,382","97,471","+18.38%","73.7 sq mi","190.9 km2","1,483/sq mi","573/km2","32°55′04″N 80°03′54″W﻿ / ﻿32.9178°N 80.0650°W﻿ / 32.9178; -80.0650﻿ (North Charleston)"
"254","Temecula","California","114,761","100,097","+14.65%","37.3 sq mi","96.6 km2","3,031/sq mi","1,170/km2","33°29′35″N 117°07′54″W﻿ / ﻿33.4931°N 117.1317°W﻿ / 33.4931; -117.1317﻿ (Temecula)"
"255","Clovis","California","114,584","95,631","+19.82%","24.2 sq mi","62.7 km2","4,404/sq mi","1,700/km2","36°49′42″N 119°41′06″W﻿ / ﻿36.8282°N 119.6849°W﻿ / 36.8282; -119.6849﻿ (Clovis)"
"256","Springfield","Illinois","114,230","116,250","−1.74%","60.1 sq mi","155.7 km2","1,925/sq mi","743/km2","39°47′28″N 89°38′41″W﻿ / ﻿39.7911°N 89.6446°W﻿ / 39.7911; -89.6446﻿ (Springfield)"
"257","Meridian","Idaho","114,161","75,092","+52.03%","29.8 sq mi","77.2 km2","3,584/sq mi","1,384/km2","43°36′51″N 116°23′56″W﻿ / ﻿43.6142°N 116.3989°W﻿ / 43.6142; -116.3989﻿ (Meridian)"
"258","Westminster","Colorado","113,166","106,114","+6.65%","31.7 sq mi","82.1 km2","3,592/sq mi","1,387/km2","39°52′56″N 105°03′52″W﻿ / ﻿39.8822°N 105.0644°W﻿ / 39.8822; -105.0644﻿ (Westminster)"
"259","Costa Mesa","California","113,003","109,960","+2.77%","15.7 sq mi","40.7 km2","7,186/sq mi","2,775/km2","33°39′57″N 117°54′44″W﻿ / ﻿33.6659°N 117.9123°W﻿ / 33.6659; -117.9123﻿ (Costa Mesa)"
"260","High Point","North Carolina","112,791","104,371","+8.07%","55.2 sq mi","143.0 km2","2,015/sq mi","778/km2","35°59′24″N 79°59′26″W﻿ / ﻿35.9900°N 79.9905°W﻿ / 35.9900; -79.9905﻿ (High Point)"
"261","Manchester","New Hampshire","112,673","109,565","+2.84%","33.1 sq mi","85.7 km2","3,339/sq mi","1,289/km2","42°59′06″N 71°26′39″W﻿ / ﻿42.9849°N 71.4441°W﻿ / 42.9849; -71.4441﻿ (Manchester)"
"262","Pueblo","Colorado","112,361","106,595","+5.41%","53.6 sq mi","138.8 km2","2,058/sq mi","795/km2","38°16′12″N 104°36′44″W﻿ / ﻿38.2699°N 104.6123°W﻿ / 38.2699; -104.6123﻿ (Pueblo)"
"263","Lakeland","Florida","112,136","97,422","+15.10%","65.9 sq mi","170.7 km2","1,615/sq mi","624/km2","28°03′20″N 81°57′18″W﻿ / ﻿28.0555°N 81.9549°W﻿ / 28.0555; -81.9549﻿ (Lakeland)"
"264","Pompano Beach","Florida","112,118","99,845","+12.29%","24.0 sq mi","62.2 km2","4,558/sq mi","1,760/km2","26°14′30″N 80°08′02″W﻿ / ﻿26.2416°N 80.1339°W﻿ / 26.2416; -80.1339﻿ (Pompano Beach)"
"265","West Palm Beach","Florida","111,955","99,919","+12.05%","55.1 sq mi","142.7 km2","1,963/sq mi","758/km2","26°44′47″N 80°07′30″W﻿ / ﻿26.7464°N 80.1251°W﻿ / 26.7464; -80.1251﻿ (West Palm Beach)"
"266","Antioch","California","111,502","102,372","+8.92%","29.4 sq mi","76.1 km2","3,772/sq mi","1,456/km2","37°58′45″N 121°47′46″W﻿ / ﻿37.9791°N 121.7962°W﻿ / 37.9791; -121.7962﻿ (Antioch)"
"267","Everett","Washington","111,475","103,019","+8.21%","33.3 sq mi","86.2 km2","3,275/sq mi","1,264/km2","47°57′24″N 122°11′29″W﻿ / ﻿47.9566°N 122.1914°W﻿ / 47.9566; -122.1914﻿ (Everett)"
"268","Downey","California","111,126","111,772","−0.58%","12.4 sq mi","32.1 km2","9,134/sq mi","3,527/km2","33°56′18″N 118°07′51″W﻿ / ﻿33.9382°N 118.1309°W﻿ / 33.9382; -118.1309﻿ (Downey)"
"269","Lowell","Massachusetts","110,997","106,519","+4.20%","13.6 sq mi","35.2 km2","8,129/sq mi","3,139/km2","42°38′20″N 71°19′16″W﻿ / ﻿42.6390°N 71.3211°W﻿ / 42.6390; -71.3211﻿ (Lowell)"
"270","Centennial","Colorado","110,937","100,377","+10.52%","29.5 sq mi","76.4 km2","3,727/sq mi","1,439/km2","39°35′26″N 104°52′09″W﻿ / ﻿39.5906°N 104.8691°W﻿ / 39.5906; -104.8691﻿ (Centennial)"
"271","Elgin","Illinois","110,849","108,188","+2.46%","37.4 sq mi","96.9 km2","2,998/sq mi","1,158/km2","42°02′23″N 88°19′18″W﻿ / ﻿42.0396°N 88.3217°W﻿ / 42.0396; -88.3217﻿ (Elgin)"
"272","Richmond","California","110,567","103,701","+6.62%","30.1 sq mi","78.0 km2","3,648/sq mi","1,409/km2","37°57′08″N 122°21′38″W﻿ / ﻿37.9523°N 122.3606°W﻿ / 37.9523; -122.3606﻿ (Richmond)"
"273","Peoria","Illinois","110,417","115,007","−3.99%","48.2 sq mi","124.8 km2","2,371/sq mi","915/km2","40°45′05″N 89°37′03″W﻿ / ﻿40.7515°N 89.6174°W﻿ / 40.7515; -89.6174﻿ (Peoria)"
"274","Broken Arrow","Oklahoma","110,198","98,850","+11.48%","61.7 sq mi","159.8 km2","1,741/sq mi","672/km2","36°02′11″N 95°46′52″W﻿ / ﻿36.0365°N 95.7810°W﻿ / 36.0365; -95.7810﻿ (Broken Arrow)"
"275","Miami Gardens","Florida","110,001","107,167","+2.64%","18.2 sq mi","47.1 km2","6,212/sq mi","2,398/km2","25°56′56″N 80°14′37″W﻿ / ﻿25.9489°N 80.2436°W﻿ / 25.9489; -80.2436﻿ (Miami Gardens)"
"276","Billings","Montana","109,577","104,170","+5.19%","43.7 sq mi","113.2 km2","2,525/sq mi","975/km2","45°47′19″N 108°33′00″W﻿ / ﻿45.7885°N 108.5499°W﻿ / 45.7885; -108.5499﻿ (Billings)"
"277","Jurupa Valley","California","109,527","0","NA","42.9 sq mi","111.1 km2","2,414/sq mi","932/km2","34°00′09″N 117°28′03″W﻿ / ﻿34.0026°N 117.4676°W﻿ / 34.0026; -117.4676﻿ (Jurupa Valley)"
"278","Sandy Springs","Georgia","109,452","93,853","+16.62%","37.7 sq mi","97.6 km2","2,804/sq mi","1,083/km2","33°55′53″N 84°22′07″W﻿ / ﻿33.9315°N 84.3687°W﻿ / 33.9315; -84.3687﻿ (Sandy Springs)"
"279","Gresham","Oregon","109,381","105,594","+3.59%","23.3 sq mi","60.3 km2","4,786/sq mi","1,848/km2","45°30′08″N 122°26′30″W﻿ / ﻿45.5023°N 122.4416°W﻿ / 45.5023; -122.4416﻿ (Gresham)"
"280","Lewisville","Texas","109,212","95,290","+14.61%","36.7 sq mi","95.1 km2","2,852/sq mi","1,101/km2","33°02′48″N 96°58′54″W﻿ / ﻿33.0466°N 96.9818°W﻿ / 33.0466; -96.9818﻿ (Lewisville)"
"281","Hillsboro","Oregon","109,128","91,611","+19.12%","25.0 sq mi","64.7 km2","4,207/sq mi","1,624/km2","45°31′41″N 122°56′09″W﻿ / ﻿45.5280°N 122.9357°W﻿ / 45.5280; -122.9357﻿ (Hillsboro)"
"282","Ventura","California","109,106","106,433","+2.51%","21.8 sq mi","56.5 km2","5,027/sq mi","1,941/km2","34°16′04″N 119°15′15″W﻿ / ﻿34.2678°N 119.2542°W﻿ / 34.2678; -119.2542﻿ (Ventura)"
"283","Greeley","Colorado","108,649","92,889","+16.97%","47.8 sq mi","123.8 km2","2,176/sq mi","840/km2","40°24′55″N 104°46′11″W﻿ / ﻿40.4153°N 104.7697°W﻿ / 40.4153; -104.7697﻿ (Greeley)"
"284","Inglewood","California","108,151","109,673","−1.39%","9.1 sq mi","23.6 km2","12,160/sq mi","4,700/km2","33°57′22″N 118°20′39″W﻿ / ﻿33.9561°N 118.3443°W﻿ / 33.9561; -118.3443﻿ (Inglewood)"
"285","Waterbury","Connecticut","107,568","110,366","−2.54%","28.5 sq mi","73.8 km2","3,799/sq mi","1,467/km2","41°33′31″N 73°02′12″W﻿ / ﻿41.5585°N 73.0367°W﻿ / 41.5585; -73.0367﻿ (Waterbury)"
"286","League City","Texas","107,536","83,560","+28.69%","51.2 sq mi","132.6 km2","1,992/sq mi","769/km2","29°29′24″N 95°06′33″W﻿ / ﻿29.4901°N 95.1091°W﻿ / 29.4901; -95.1091﻿ (League City)"
"287","Santa Maria","California","107,263","99,553","+7.74%","22.8 sq mi","59.1 km2","4,662/sq mi","1,800/km2","34°56′00″N 120°26′38″W﻿ / ﻿34.9332°N 120.4438°W﻿ / 34.9332; -120.4438﻿ (Santa Maria)"
"288","Tyler","Texas","106,985","96,900","+10.41%","56.6 sq mi","146.6 km2","1,852/sq mi","715/km2","32°19′02″N 95°18′21″W﻿ / ﻿32.3173°N 95.3059°W﻿ / 32.3173; -95.3059﻿ (Tyler)"
"289","Davie","Florida","106,306","91,992","+15.56%","34.9 sq mi","90.4 km2","2,919/sq mi","1,127/km2","26°04′45″N 80°17′06″W﻿ / ﻿26.0791°N 80.2850°W﻿ / 26.0791; -80.2850﻿ (Davie)"
"290","Lakewood","New Jersey","106,300","92,843","+14.49%","24.7 sq mi","64.0 km2","4,079/sq mi","1,575/km2","40°04′38″N 74°12′01″W﻿ / ﻿40.0771°N 74.2004°W﻿ / 40.0771; -74.2004﻿ (Lakewood)"
"291","Daly City","California","106,280","101,123","+5.10%","7.6 sq mi","19.7 km2","14,009/sq mi","5,409/km2","37°42′03″N 122°27′54″W﻿ / ﻿37.7009°N 122.4650°W﻿ / 37.7009; -122.4650﻿ (Daly City)"
"292","Boulder","Colorado","105,673","97,385","+8.51%","24.8 sq mi","64.2 km2","4,358/sq mi","1,683/km2","40°01′37″N 105°15′07″W﻿ / ﻿40.0270°N 105.2519°W﻿ / 40.0270; -105.2519﻿ (Boulder)"
"293","Allen","Texas","105,623","84,246","+25.37%","27.1 sq mi","70.2 km2","3,715/sq mi","1,434/km2","33°05′59″N 96°39′47″W﻿ / ﻿33.0997°N 96.6631°W﻿ / 33.0997; -96.6631﻿ (Allen)"
"294","West Covina","California","105,101","106,098","−0.94%","16.0 sq mi","41.4 km2","6,740/sq mi","2,600/km2","34°03′21″N 117°54′36″W﻿ / ﻿34.0559°N 117.9099°W﻿ / 34.0559; -117.9099﻿ (West Covina)"
"295","Sparks","Nevada","105,006","90,264","+16.33%","35.9 sq mi","93.0 km2","2,810/sq mi","1,080/km2","39°33′16″N 119°44′08″W﻿ / ﻿39.5544°N 119.7356°W﻿ / 39.5544; -119.7356﻿ (Sparks)"
"296","Wichita Falls","Texas","104,683","104,553","+0.12%","72.2 sq mi","187.0 km2","1,450/sq mi","560/km2","33°54′24″N 98°31′33″W﻿ / ﻿33.9067°N 98.5259°W﻿ / 33.9067; -98.5259﻿ (Wichita Falls)"
"297","Green Bay","Wisconsin","104,578","104,057","+0.50%","45.4 sq mi","117.6 km2","2,316/sq mi","894/km2","44°31′15″N 87°59′03″W﻿ / ﻿44.5207°N 87.9842°W﻿ / 44.5207; -87.9842﻿ (Green Bay)"
"298","San Mateo","California","104,430","97,207","+7.43%","12.1 sq mi","31.3 km2","8,592/sq mi","3,317/km2","37°33′37″N 122°18′38″W﻿ / ﻿37.5603°N 122.3106°W﻿ / 37.5603; -122.3106﻿ (San Mateo)"
"299","Norwalk","California","103,949","105,549","−1.52%","9.7 sq mi","25.1 km2","10,946/sq mi","4,226/km2","33°54′27″N 118°05′01″W﻿ / ﻿33.9076°N 118.0835°W﻿ / 33.9076; -118.0835﻿ (Norwalk)"
"300","Rialto","California","103,526","99,171","+4.39%","22.3 sq mi","57.8 km2","4,633/sq mi","1,789/km2","34°06′42″N 117°23′18″W﻿ / ﻿34.1118°N 117.3883°W﻿ / 34.1118; -117.3883﻿ (Rialto)"
"301","Las Cruces","New Mexico","103,432","97,618","+5.96%","76.9 sq mi","199.2 km2","1,323/sq mi","511/km2","32°19′35″N 106°47′23″W﻿ / ﻿32.3264°N 106.7897°W﻿ / 32.3264; -106.7897﻿ (Las Cruces)"
"302","Chico","California","103,301","86,187","+19.86%","33.3 sq mi","86.2 km2","3,102/sq mi","1,198/km2","39°44′24″N 121°50′08″W﻿ / ﻿39.7400°N 121.8356°W﻿ / 39.7400; -121.8356﻿ (Chico)"
"303","El Cajon","California","102,708","99,478","+3.25%","14.5 sq mi","37.6 km2","7,156/sq mi","2,763/km2","32°48′06″N 116°57′37″W﻿ / ﻿32.8017°N 116.9604°W﻿ / 32.8017; -116.9604﻿ (El Cajon)"
"304","Burbank","California","102,511","103,340","−0.80%","17.4 sq mi","45.1 km2","6,003/sq mi","2,318/km2","34°11′24″N 118°19′35″W﻿ / ﻿34.1901°N 118.3264°W﻿ / 34.1901; -118.3264﻿ (Burbank)"
"305","South Bend","Indiana","102,026","101,168","+0.85%","41.4 sq mi","107.2 km2","2,457/sq mi","949/km2","41°40′37″N 86°16′08″W﻿ / ﻿41.6769°N 86.2690°W﻿ / 41.6769; -86.2690﻿ (South Bend)"
"306","Renton","Washington","101,751","90,927","+11.90%","23.4 sq mi","60.6 km2","4,314/sq mi","1,666/km2","47°28′34″N 122°11′31″W﻿ / ﻿47.4761°N 122.1920°W﻿ / 47.4761; -122.1920﻿ (Renton)"
"307","Vista","California","101,638","93,834","+8.32%","18.7 sq mi","48.4 km2","5,436/sq mi","2,099/km2","33°11′22″N 117°14′19″W﻿ / ﻿33.1895°N 117.2386°W﻿ / 33.1895; -117.2386﻿ (Vista)"
"308","Davenport","Iowa","101,590","99,685","+1.91%","62.9 sq mi","162.9 km2","1,631/sq mi","630/km2","41°33′15″N 90°36′14″W﻿ / ﻿41.5541°N 90.6040°W﻿ / 41.5541; -90.6040﻿ (Davenport)"
"309","Edinburg","Texas","101,170","77,100","+31.22%","37.6 sq mi","97.4 km2","2,691/sq mi","1,039/km2","26°18′15″N 98°09′50″W﻿ / ﻿26.3042°N 98.1639°W﻿ / 26.3042; -98.1639﻿ (Edinburg)"
"310","Tuscaloosa","Alabama","101,129","90,468","+11.78%","71.7 sq mi","185.7 km2","1,399/sq mi","540/km2","33°12′23″N 87°32′05″W﻿ / ﻿33.2065°N 87.5346°W﻿ / 33.2065; -87.5346﻿ (Tuscaloosa)"
"311","Carmel","Indiana","101,068","79,191","+27.63%","47.5 sq mi","123.0 km2","2,128/sq mi","822/km2","39°58′00″N 86°06′00″W﻿ / ﻿39.9667°N 86.1000°W﻿ / 39.9667; -86.1000﻿ (Carmel)"
"312","Spokane Valley","Washington","101,060","89,755","+12.60%","37.7 sq mi","97.6 km2","2,681/sq mi","1,035/km2","47°40′24″N 117°14′22″W﻿ / ﻿47.6733°N 117.2394°W﻿ / 47.6733; -117.2394﻿ (Spokane Valley)"
"313","San Angelo","Texas","101,004","93,200","+8.37%","59.9 sq mi","155.1 km2","1,681/sq mi","649/km2","31°26′28″N 100°27′02″W﻿ / ﻿31.4411°N 100.4505°W﻿ / 31.4411; -100.4505﻿ (San Angelo)"
"314","Vacaville","California","100,670","92,428","+8.92%","29.0 sq mi","75.1 km2","3,449/sq mi","1,332/km2","38°21′14″N 121°58′22″W﻿ / ﻿38.3539°N 121.9728°W﻿ / 38.3539; -121.9728﻿ (Vacaville)"
"315","Clinton","Michigan","100,471","96,796","+3.80%","28.1 sq mi","72.8 km2","3,573/sq mi","1,380/km2","42°35′25″N 82°55′01″W﻿ / ﻿42.5903°N 82.9170°W﻿ / 42.5903; -82.9170﻿ (Clinton)"
"316","Bend","Oregon","100,421","76,639","+31.03%","33.1 sq mi","85.7 km2","3,034/sq mi","1,171/km2","44°03′00″N 121°18′00″W﻿ / ﻿44.0500°N 121.3000°W﻿ / 44.0500; -121.3000﻿ (Bend)"
"317","Woodbridge","New Jersey","100,145","99,585","+0.56%","23.3 sq mi","60.3 km2","4,351/sq mi","1,680/km2","40°33′39″N 74°17′34″W﻿ / ﻿40.5607°N 74.2927°W﻿ / 40.5607; -74.2927﻿ (Woodbridge)"
